,topic,time,vender,header,body
36,日経クロステック トップエレクトロニクス機器／技術百家争鳴Appleカー,2021-04-01,清水 直茂,「レクサスはなぜEVじゃないの？」　Google対トヨタ著者,米Apple（アップル）が電気自動車（EV）の開発を模索する。自動運転時代の新しい競争を見据えた「Google vs トヨタ」と題した書籍を2014年にいち早く出版し、テック企業に詳しいナビゲータープラットフォーム取締役で証券アナリストの泉田良輔氏にApple参入の狙いや影響を聞いた。（聞き手は清水 直茂＝日経クロステック）なぜAppleがEVに参入するのでしょうか。他に大きな市場がない。売上高が30兆円に達するAppleのような巨大な企業になると、テレビ市場では物足りない。成長に必要な大きな市場がどこにあるのか。消去法で自動車と考えたのではないか。ユーザーの時間の使い方という観点で、自動車はスマートフォンと補完関係にあることも見逃せない。車の運転中にiPhoneを操作できないので、iPhoneとはユーザーの時間の奪い合いが生じない。もちろん、自分たちの技術を生かせる余地もある。ならば自動車市場への参入を考えてみようか、となったのでは。手元資金の使い道の一環でもある。現状がもうかりすぎて、手元資金がじゃぶじゃぶだ。投資家から見ると、どこかに投資しないのであれば配当を増やすか、自社株買いしろとの圧力をかけざるを得ない。ただAppleとしては、投資家に全て還元するよりは、自分たちで何か新しいことをやりたいと考えたのだろう。米Tesla（テスラ）が影響を与えたとの見方があります。Teslaの影響は大きい。あと注目しているのは、中国の上海蔚来汽車（NIO）だ。TeslaやNIOに対して思うのは、自動車にSaaS（ソフトウエア・アズ・ア・サービス）のビジネスが本格的に始まりそうなことである。例えばEVを使った分だけ対価を支払うといったイメージだ。Appleは、SaaSのビジネスに出遅れた。音楽配信や映画配信などでスウェーデンSpotify Technology（スポティファイ・テクノロジー）や米Netflix（ネットフリックス）などに先行を許した。自分たちにもできたのにと、絶対に思っているはずだ。車にSaaSの潮流がやってくるのであれば、自分たちも乗らざるを得ないと考えたのではないか。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ Appleの本音はやりたくない？
37,日経クロステック トップ設計・生産革新3Dプリンター活用最初の一歩,2021-03-31,,粉末をバインダーで固めて造形,今回は「結合剤噴射法」について解説する。インクジェットヘッドを使う点は「材料噴射法」（2021年2月号参照）のアディティブ製造装置（3Dプリンター）と同じだが、造形材料そのものを吐出する材料噴射法とは異なり、結合剤噴射法では造形材料を固めるための結合剤（バインダー）を吐出するのが特徴だ。造形材料は粉末状となっており、これを造形エリア全体に敷き詰めておく（図1）。その表面に対して、上方から断面形状となる部分だけにインクジェットヘッドからバインダーを吐出して硬化させる。1層分の造形が完了すると、造形エリア全体の粉末材料を1層分だけ下げ、その上に次の層の粉末を供給して同じプロセスを繰り返す（図2）。このような造形プロセスのため、立体モデルの周囲を未硬化の粉末が満たした状態で造形が進む。つまり、立体モデルを未硬化の粉末が支えるので、基本的にはサポートは不要である。だだし、未硬化の粉末材料には強度がないので、立体モデルの質量が大きくなった場合などにも十分にサポートとしての役目を果たせるかどうかには注意する必要がある。基本的に、粉末状であればどのような材料でも使用できる。石こうや砂、セラミックス、金属などが既に実用化されており、食品（チョコレートや砂糖などの粉末）を造形できる装置も開発された。ただし、結合剤を硬化させただけでは強度などが不足し、後工程で粉末材料のすき間に他の材料をしみ込ませる含浸処理などが必要となる場合がある。バインダーそのものを着色したり、バインダーとは別に複数色のインクを吐出して混ぜ合わせたりして、フルカラーの立体モデルを造形できるのも大きな特徴の1つである。現在では数百万色の表現が可能なアディティブ製造装置が実用化されている。ただし、この場合には粉末材料の色が最終的な立体モデルの色に大きく影響する。紙にカラー印刷する場合でも、紙が白くないときれいな発色は得られない。現実的には、石こうなど白色の粉末材料を使うアディティブ製造装置においてフルカラーが実現されている。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 造形材料
38,日経クロステック トップクルマ技術／動向百家争鳴Appleカー,2021-03-31,岡田 江美,「エンジンは2030年前後でピークアウト」　前川・リケン社長,エンジン部品のピストンリングを主力とするリケンは、電動化が加速する中、エンジン関連部品で効率化を進めつつ、新たな収益の柱の構築を急いでいる。米Apple（アップル）のEV参入観測が浮上するなど、エンジンを取り巻く環境が厳しさを増す。どう勝ち残るのか。社長兼最高執行責任者（COO）の前川泰則氏に聞いた。（聞き手は岡田 江美＝日本経済新聞社企業報道部、久米 秀尚＝日経クロステック／日経Automotive）Appleをはじめ、自動車業界への新規参入が加速する現状をどう捉えていますか。Appleをはじめ、自動車業界への新規参入が加速する現状をどう捉えていますか。まずこれまでの車の進化を振り返ると、キーテクノロジーは全地球測位システム（GPS）、自動的に地図に渋滞状況が反映されるような通信技術、周辺の車を検知するセンサーなどになるだろう。最近このような分野での付加価値が車でも上がっているが、まさにそれらは携帯、スマートフォンに関連する企業がやってきた世界だ。なぜAppleが自動車に参入するのかと思うかもしれないが、自動車の進化の方向性とAppleなどが手掛ける方向は実に同じである。自動運転などが進めば車は自ら動くのではなく、車がロボットのように外部と連携しながら移動するだろう。自分で運転する側面もあるとはいえ、いってみれば他の人に動かされている「他動車」になっていくのではないか。そうであれば劇的な変化だ。ただ、その中でも安全性は重要だ。AppleなどIT企業の新規参入があってもすべてを自動でというのはすぐには難しい。経済合理性と安全性のせめぎ合いとなるだろう。新規参入が加速する中、エンジンなど内燃機関のピークアウトはいつごろと見ますか。新規参入が加速する中、エンジンなど内燃機関のピークアウトはいつごろと見ますか。新型コロナウイルスの影響が出る以前は2030年代中ごろと見ていた。しかし、それよりも早くなり、地域ごとに差はあるものの全体感としては30年を基準にプラスマイナス2年くらいの間でピークアウトが来てしまうかもしれない。自動車メーカーとやり取りする中でも新しい内燃機関の開発プロジェクトを凍結する事例もある。ただピークアウトしたからといってゼロになるわけではなく、我々は勝ち残っていく。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ ピークアウトまでの投資戦略は？
39,日経クロステック トップエレクトロニクス機器／技術百家争鳴Appleカー,2021-03-30,押切 智義,「OTAできないEVは競争力を失う」　名大・野辺客員准教授,自動車産業でソフトウエアの重要性が高まっている。自動車への参入がささやかれる米Apple（アップル）が得意とする領域だ。名古屋大学未来社会創造機構で客員准教授の野辺継男氏に、自動車産業で高まるソフトの影響などを聞いた。（聞き手は押切 智義＝日本経済新聞社企業報道部）AppleなどIT企業が車に新たに提供できる価値をどう見ていますか。まさに今、車の付加価値がクラウドの上でつくられる時代に入っている。例えば、走っている状態からデータを集めて、エネルギー効率を高めるため「こういう走り方ならこれ」とソフトをダウンロードするような仕組みも現実味を帯びてきた。車をより良くする要素がクラウド上に移行すれば、それはハイテクカンパニーに強みをもたらす。Appleの強みはどういうものが想定されますか。ソフトの開発能力が高いことである。象徴的なのが無線通信経由でソフトをアップデートして機能を高めるOTA（Over The Air）だ。AppleはすでにiOSで、OTAを経験済み。ソフト開発はOSに至るまで何層ものソフトが重なる構造である。Appleには複雑な構造のソフトをバージョン管理しながらアップデートしてきた知見がある。電気自動車（EV）はOTAとの相性が良く、航続距離を延長したり、事故を防いだりとアップデートの対象範囲が走行まで広がる。現状は自動車メーカーでは米Tesla（テスラ）くらいしか本格的なOTAを実現できていない。OTAができないと、EVは競争力を失う。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ アップルカー時代に必要な人材は？
40,日経クロステック トップエレクトロニクス機器／技術百家争鳴Appleカー,2021-03-30,押切 智義,車に「水平分業」の足音、鴻海・ティアフォー連合の衝撃,米Apple（アップル）など異業種の自動車分野への相次ぐ参入は、産業の構造を大きく変える「破壊力」を秘める。特に設計に特化し生産は手掛けないファブレス企業の台頭で、これまでの自動車メーカーを頂点とした垂直統合のビジネスモデルは、スマートフォンのような水平分業へと変容するとの見方も多い。こうした変化をチャンスととらえ、動き出す企業が出てきた。日経産業新聞と日経クロステックの共同連載企画の第2弾です。百家争鳴のAppleカーの行方を展望しつつ、新たなテクノロジーを深掘りし、勃興するモビリティー産業の最前線に迫ります。2020年はじめ、自動運転スタートアップであるティアフォー（名古屋市）創業者の加藤真平氏は、台湾を訪れて鴻海精密工業（Hon Hai Precision Industry）董事長（会長）の劉揚偉氏と面会していた。「これからは電気自動車（EV）やロボットにも注力していく」。こう語る劉氏に対し、ティアフォーが普及を狙う自動運転の基本ソフト（OS）「Autoware（オートウエア）」の有用性を説いていった。オートウエアは自動運転に不可欠な「認知、判断、操作」を一括して担う頭脳ともいえるシステムだ。15年の公開から無償開放するオープンソース戦略をとっており、日本における自動運転の実証実験で多く導入されているほか、世界で採用が広がっている（図1）。18年12月には普及に向けて業界団体を立ち上げ、トヨタ自動車のグループ会社や韓国LG Electronics（LG電子）、英Arm（アーム）など60社弱が名前を連ねる。台湾での両者の会談から1年余り。21年3月下旬にオートウエアの普及団体は、鴻海が主導する「MIH EV Open Platform」と呼ばれるEVプラットフォームの普及団体と連携を決めた（図2）。MIHもオープン化の手法をとっており、標準化した部品やソフトなどを使って、中小や新興メーカーが比較的容易にEVへの参入が図れる利点がある。普及団体には既に米Amazon Web Services（アマゾン・ウェブ・サービス）や中国・寧徳時代新能源科技（CATL）、日本電産など1000社以上が参画している。両団体が連携することで、MIHを活用したEVに、オートウエアを採用した自動運転システムを載せやすくなる。自動運転とEVで存在感を高めるオープンソース陣営が手を組むことで、今まで一握りの大手の自動車メーカーやIT企業でなければ参入が難しかった自動運転EVの「敷居」が大きく下がる可能性がある。ティアフォーと鴻海は台湾の自動車メーカーと組んで21年秋には多目的スポーツ車（SUV）の自動運転EVを試作し、同国で実証実験を始める計画だ。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ タジマ・出光提携の狙いとは
41,日経クロステック トップエレクトロニクス機器／技術百家争鳴Appleカー,2021-03-29,星 正道,「アップルカー参入は宿命」　ナカニシ自動車産業リサーチ代表,米Apple（アップル）の自動車参入の可能性がささやかれる中、どのようなインパクトを自動車産業に与えるのか。トップアナリストとして自動車産業を見続けてきたナカニシ自動車産業リサーチ代表の中西孝樹氏に、アップルカーの衝撃を洞察してもらった。（聞き手は星 正道＝日本経済新聞社企業報道部）2021年1月以降、Appleと自動車大手による提携協議の報道が相次いでいます。受け止めは。やはりきたか、というのが率直な感想だ。来るべきものが来た。Appleには16年ごろから自動運転プロジェクト「タイタン」があり、19年後半からそのプロジェクトが再加速し始めた話を私も耳にしていた。ソニーが20年に自動運転の電気自動車（EV）「VISION-S（ビジョンＳ）」を発表し、Appleも後れを取ってはならないという状況になっていた。強気なAppleというよりも、焦りがあると考えている。タイタンは当初、20年、21年には実用化されるとみられていたが、曲折があり、ものになるところまで到達できていない。得意のUI（ユーザーインターフェース）があるとしても、自動運転や電池技術の存在感はなく、肝心の次世代技術のパテントも見えていない。好調な米Tesla（テスラ）や、ソニーの動きを踏まえ、Appleにも焦りがあるだろう。本来、秘密主義のAppleなだけに、ここまで情報が漏れるのには、それなりの理由があるとみる。Teslaの勢いが影響していると。TeslaとAppleのコアコンピタンスは重なる。Appleは当初、自動車産業にすっと入れると思っていた節があるが、相当な遅れになってしまった。実際、Teslaは参入に苦労した。18年の段階でTeslaはかなりの確率で倒産と言われて、事業売却の話が浮上した。ところがTeslaは乗り切り、劇的に変化して飛躍を遂げた。自動車販売10万台規模のメーカーが25年には150万～170万台くらいの規模に育つ可能性が見えてきた。誰も想像できなかったことだ。主力モデルが3つそろい、飛躍の可能性を確認できたのが19～20年ごろ。このままではAppleは自動車でやろうとしていることをTeslaに全部、押さえられかねない。逆算すると、Appleは25年には自動車をしっかりと販売し、30年くらいにはTeslaに対抗できるポジションに立つことを見据えているのではないか。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ Appleはどこと組むか？
42,日経クロステック トップエレクトロニクス機器／技術百家争鳴Appleカー,2021-03-29,清水 孝輔,「スマホ技術資産、車開発に応用」　川西・ソニー執行役員,ソニーが電気自動車（EV）の試作車「VISION-S（ビジョンS）」の公道走行に乗り出した。2020年1月に世界最大のエレクトロニクス見本市「CES」で初めて披露し、同年12月からオーストリアの路上で試験走行を始めた。Apple（アップル）カーの開発がささやかれるなか、ソニーは試作車の先に何を見据えるのか。開発を率いた執行役員の川西泉氏に聞いた。（聞き手は清水 孝輔＝日本経済新聞社企業報道部）オーストリアで公道実験を始めました。自動車の評価は時間がかかる。走行実験はすぐには終わらない。ある程度の時間を使ってやっていく。車としての性能はより掘り下げて評価する必要がある。急ブレーキや加速、コーナリングなどのテストをしている。それに応じてブレーキやサスペンション、モーターなどの調整をしている。1つひとつ検証する必要がある。試作だけではなく量産しないのですか。そういうお声はちょうだいする。造って良かった。ただ、そんなに単純ではない。やればやるほど思うのが、安心・安全を追求する技術は確立できているわけではないことだ。十分な知見をためる必要がある。焦ってやることはない、というのが今の正直なところだ。開発手法は既存の自動車メーカーとソニーで異なるのでしょうか。すごく単純にいうと、アジャイル開発。車はやはり「ウオーターフォール」で仕様を決めて造り始める。ただアジャイルだけでもできない。アジャイルで短期間に回すと効率的かというと、必ずしもそうではない。何度もつくり替えると時間がかかる。2つのやり方のいいとこ取りすることを、ここ2年、3年と挑戦している。アジャイルで開発したのは、ソフトの領域でしょうか。比較的ITの技術を入れやすい領域だ。車体そのものはある程度決められたプロセスがあるので、なかなか手を入れづらかった。ソニーでいうと、ダッシュボードの中や人に近いところ。ITの考えを応用しやすい領域で、ADAS（先進運転支援システム）周りにも適用した。ソフトの比重が高い領域のほうが入れやすい。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ スマホの技術資産、どこまで流用？
43,日経クロステック トップエレクトロニクス機器／技術百家争鳴Appleカー,2021-03-29,清水 直茂,ソニーカー、スマホ流どこまで　張り巡らすギガ級イーサネット,ソニーが、電気自動車（EV）「VISION-S」の公道実験に早くもこぎ着けた。スマートフォンの開発手法やソフト資産を存分に生かす。車両の中身に迫ると、自動運転センサー開発の一環にとどまらず、車両全体の統合制御に奮闘する姿が浮き彫りになる。スマホの王者である米Apple（アップル）がEV開発を模索する中、ソニーが部品メーカーの立場を超えて自動車メーカーの領域に踏み込む狙いを読み解く。2020年12月、ソニーはオーストリアで公道実験を始めた（図1）。驚くのは、企画開始からわずか2年でたどり着いたことだ。開発を率いるソニー執行役員AIロボティクスビジネス担当の川西泉氏は「車両の構想を固めるのにかなり時間をかけた」というから、実際の開発期間はもっと短い。自動車開発の素人集団であるソニーが、なぜこれほど早く開発を進められるのか。エンジンのないEVであることに加えて、車の付加価値がハードからソフトに移ってきたことがある。ソニーがスマホ開発などで培った短期間で検証や改善を繰り返す「アジャイル開発」の経験を生かせた（図2）。自動車開発で一般的な最初に仕様を固めて取りかかる「ウオーターフォール開発」に比べて、開発期間を短くしやすい。車両のインストルメントパネル周辺のHMI（ヒューマン・マシン・インターフェース）や、第5世代移動通信（5G）といったITと親和性の高い技術領域を中心にアジャイル開発を取り入れた。スマホなどの開発資産も多く流用する。加えて「走る・止まる・曲がる」といった車の基本機能に関わり、ソニーの知見が薄い自動運転において、川西氏は「アジャイル開発が比較的通用した」と手応えを語る。自動車開発に想定よりも「スマホ流」が通用した格好だ。一方で駆動モーターやステアリングなど車の伝統的な制御開発には、アジャイル開発を適用しにくいことも分かった。安全に関わる部分であり試行錯誤しにくく、ウオーターフォール開発で臨む。ソニーは2つの開発手法の「いいとこ取り」（川西氏）に力を注いだ。メガサプライヤーの実力が、自動車メーカーに匹敵するほど向上していることも開発期間の短縮に貢献する。協業する独Bosch（ボッシュ）や同Continental（コンチネンタル）、同ZFなどは、車両のほとんど全体を手掛けられる実力を備える。車体開発でソニーが頼ったオーストリアMagna Steyr（マグナ・シュタイヤー）は老舗で、長い実績がある（図3）。もちろんEVであることも大きい。エンジン車であればメガサプライヤーの力をどれだけ借りても、短期間の開発は難しかったはずだ。エンジンは自動車メーカーの独壇場。EVだからこそ、エンジンに代わるモーターや電池をソニーのような新参者が簡単に調達できる。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 車にSnapdragonやAndroid
44,日経クロステック トップ建築東京大改造,2021-03-24,川又 英紀,青やオレンジに輝くルイ・ヴィトン銀座並木通り店、青木淳氏らのASがガラス外装設計,この建物の色は青か、オレンジか。見る角度や時間帯、天候などによって様々な表情を見せる──。ルイ・ヴィトン ジャパンは2021年3月20日、東京・銀座の並木通り沿いに直営店「LOUIS VUITTON GINZA NAMIKI（ルイ・ヴィトン 銀座並木通り店）」を新装オープンした。1981年に誕生した日本初の直営店を、約3年かけて建て替えた。建物の建築本体と外装の設計は、AS（旧・青木淳建築計画事務所、東京・港）が担当。建物の施工は清水建設が手掛けた。生まれ変わった銀座並木通り店は、建物を覆い尽くすガラスのファサードが目を引く。高級ブランド店が軒を連ねる並木通りでも、とにかく目立つ。表面が波打つガラスのカーテンウオールは、「水の柱」を表現している。そして色が常に変化しているように見える。青やオレンジに見える部分が多いが、時にはゴールドに輝いて見えることもある。ガラスには周囲の景色も映り込む。ウエーブ状のガラスに映り込んだ像はゆがみ、マーブル模様のようにも見えたりするから不思議だ。同年3月17日には、ASを共同主宰するパートナーの青木淳氏が開業前の店舗で、建築メディア向けに内覧ツアーを実施した。最初に案内されたのは意外にも、屋上だった。最大の特徴であるガラスのファサードを語るうえで、屋上が一番分かりやすい場所だからだ。銀座並木通り店は地上8階建てで、高さは約40mある。建築面積は約310m2で、構造は鉄骨造だ。屋上には今は何もない。使い道はこれから決めるという。頭上に青空が広がる屋外空間である。青木氏は屋上の白い壁の前に立ち、うっすらと外が透けて見える楕円形の窓のような部分を指さして説明を始めた。この建物は外から眺めると、ガラスがオレンジや青に見える。ただし、外観に窓らしきものは確認できないため、室内から外がどう見えているのかは想像しにくい。ガラスがマジックミラーのようになっていて中からは外が丸見えなのか、それとも外が全く見えないのか、よく分からない。答えは屋上にあった。ガラスは非常に凝った構成をしていた。外側（アウター）に曲面の合わせガラス、内側（インナー）に複層ガラスを配置している。特に重要なのが、外側に用いた合わせガラスだ。2枚のガラスをくっ付けた合わせガラスは、外側にくるガラスの内面（合わせ面）に、オレンジの光だけを反射する「ダイクロイック」を蒸着させている。外観がオレンジに見えるのは、この反射が強いときだ。オレンジ以外の波長の光はダイクロイックを透過し、合わせガラスのもう1枚のガラスに到達する。そしてそのガラスの室内側に張った「グラデーションフィルム」で、今度は青の光を反射する。外観が青く見えるのは、こちらの反射だ。建物に当たる直射光や間接光の加減で、オレンジの反射が見えたり、青が見えたりする。しかも合わせガラスは波打っているので、眺める角度で色が違って見える。色ガラスは使っていない。ガラス自体は透明だ。光の反射と透過をダイクロイックとグラデーションフィルムでコントロールし、外観の「色」を出している。「建物のファサード全体にダイクロイックを採用したのは、日本では初めてではないか」と、青木氏は解説する。採用した特注ガラスの製造や加工、波形の成型は中国で行った。曲面のガラス全体は基本的には、6つのガラス形状パターンの組み合わせでできている。6種類をシームレスにつなぎ合わせることで、波打つ3次元曲面をつくっている。曲面の高低差は最大で約100mmだ。6種類の金型を用意し、平らなガラスに熱を加えて金型に沿った曲面に変形させる。それを2枚張り合わせて、合わせガラスにしている。この工程が非常に難しかったという。一方、室内に近いインナーの複層ガラスにも、グラデーションフィルムを張っている。青木氏の背後にある楕円形に切り取られた窓のような場所がスモークがかかっているように見えるのは、白から透明へのグラデーションのせいである。楕円の中央付近はグラデーションが透明で、楕円の外側にいくに従ってグラデーションが濃くなる。室内から外が青っぽく見えるのは、グラデーションフィルムの透明部分を透過してきたオレンジ以外の光が見えているからだ。今度は売り場をのぞいてみよう。内装の設計はピーター・マリノ氏が主宰するPETER MARINO ARCHITECTとエイチアンドエイが手掛けた。ASは内装設計にはタッチしていない。売り場も屋上の壁と同じように、楕円形の窓のような部分から外を見られるようにしている。店内に入ってみないと、この見せ方には気づかないだろう。続いて、7階に併設したカフェ「LE CAFE V（ル・カフェ・ヴィー）」に移動する。ここでも同じく、壁の一部が楕円にくりぬかれたように、外が見えている。楕円の大きさは、フロアごとに異なる。カフェの設計は乃村工芸社A.N.D.が担当した。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ ASは外装だけでなく建築も設計
45,日経クロステック トップ建築ニュース解説：建築・住宅,2021-03-17,川又 英紀,大成建設が「AI設計部長」育成、ナレッジDB参照した図面チェックなどで設計者支援,大成建設は2021年3月11日、人工知能（AI）を活用した設計者の支援システム「AI設計部長」の開発に、20年度から着手したことを明らかにした。過去の設計技術情報をデータベース（DB）に蓄積し、新たに作製する図面のチェックや構造設計の指針決定、設備仕様の選定などをAIがサポートする仕組みを構築する。建築・構造・設備の各設計に対してアドバイスをしてくれるAIを「設計部長」に例え、23年度までに段階的に運用を始める。設計に関する社員の知見やノウハウを有効活用することで、設計業務を大幅に効率化するのが狙いだ。設計者の働き方改革を推進し、生産性を高めるのが「AI設計部長」の主な役目となる。具体的には、基本・実施設計の完了前の図面チェックや、構造設計の手戻りを減らすデザインレビュー、建築図面から自動で室名を読み取ったうえで床面積を算出して設備項目の参考値を提示すること、などが挙げられる。大成建設における現状の設計業務は、それぞれの案件で発生する初期段階の与件分析や敷地に関する法律・条例などの情報整理、過去の事例検証などに、多くの時間を割いている状態である。これらの作業は設計者の知見やノウハウが属人化しやすく、全社で共有されにくかったという。そこで過去の設計業務で経験した内容を社内で共有できるように、ナレッジデータとしてDBに集約。そこから「AI設計部長」が適切な情報を抽出して設計者に伝えることで、設計業務の効率化と品質向上に生かす。「AI設計部長」は助言を繰り返しながら設計者からフィードバックをもらい、学習していく。それには過去の設計情報を集積する設計技術情報DBの整備が欠かせない。まずは、実際のプロジェクトでの検証記録や会議での指摘事項、そして社内で承認された内容といった情報を蓄積する。こうしてDBの中身を充実させながら、同時に設計者が抱える課題や悩みを「AI設計部長」が的確に判断し、問題解決や作業効率につながる最適な情報のレコメンドを学ぶ。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 23年度までに設計技術情報を蓄積できるかが決め手...
46,日経クロステック トップ設計・生産革新事故から10年、福島第1の廃炉で活躍するメカ,2021-03-17,斉藤 壮司,2号機で働く東電の遠隔操作海外ロボ、軍用育ちで高い信頼性,事故を起こした福島第1原子力発電所の廃炉措置において、重要な作業の1つに使用済み燃料プール＊1からの燃料集合体＊2の取り出しがある。既に取り出しを終えた4号機、3号機に次いで作業が計画されているのが2号機。同機の使用済み燃料プールには、615体の燃料集合体が残されており、現在、2024～26年度の取り出し開始に向けて準備が進められているところだ。計画では、同機の原子炉建屋（以下、建屋）南側の壁に開口を設け、「オペレーティングフロア」に使用済み燃料を取り出す「燃料取扱設備」を入れる＊3。しかし、同機のオペレーティングフロアには、工具箱、フェンス、手すり、検査設備、スロープなどが事故当時のまま残されていた。取り出し作業に当たっては、まず、それら残置物を片付けて、放射線量を抑えなくてはならない（図1）。そこで東京電力ホールディングス（HD）は、18年8月から20年11月の2年余りをかけて、この残置物を撤去した。その作業のために採用したのが、海外製の遠隔操作ロボットである（図2）。残置物の撤去に当たっては、2号機建屋西側の壁に開口を設け、「前室」と呼ばれる部屋を建設。そこから「遠隔廃炉メカ」を送り出して作業した。残置物の撤去が終わった現在では、同フロアの放射線量が低下したとみられている。そこで同社は21年2月から、同じ遠隔操作ロボットを使い、放射線量のより詳細な計測を始めている。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 苦労したカメラ越しの操作
47,日経クロステック トップ設計・生産革新福島第1原発廃炉プロジェクト、東電責任者に山根一眞が聞く,2021-03-16,山根 一眞,東電を意識改革、廃炉総責任者が語る「中長期実行プラン」の効果,さまざまな新技術を必要とする東京電力福島第1原子力発電所（1F、イチエフ）の廃炉プロジェクト。その第一線で働きたいと考える若い世代が東京電力の入社志望者に増えているという。長期にわたる取り組みになるだけに、次の世代への期待は大きい。廃炉の総責任者、福島第一廃炉推進カンパニープレジデントの小野明氏にノンフィクション作家の山根一眞氏が聞くインタビューの最終回。2年ほど前に楢葉遠隔技術開発センター（日本原子力研究開発機構、福島県楢葉町）を取材し記事を書いた際、福島第1原子力発電所の廃炉を想定したシミュレーション設備や映像技術などが集積しているのに感動しました。1Fのモックアップ施設も幾つかありましたが、その1つがペデスタル（原子炉圧力容器を支える土台）です。何と、そのペデスタルのモックアップを使って高等工業専門学校（高専）の生徒たちが1Fのデブリ回収を想定したロボット競技「廃炉創造ロボコン」を行っていると聞きびっくりしました。地元高専の先生の発想・指導だそうですね。YouTubeで公開されている「廃炉創造ロボコンダイジェスト版」を見たら、すごい発想の、見たことがないデザインのロボットが福島だけでなく全国から集まっていて圧倒されました。小野：廃炉創造ロボコンは、5回目を迎えています＊。2020年は新型コロナウイルス感染症拡大防止の一環としてオンラインでのビデオ審査になりましたが、まさにあれは実作業を想定してものです。たとえ将来1Fの廃炉に携わらなくても、明確に困難な課題に挑戦したロボットを創作し、操作したという経験は学生たちの将来に大きく生きてくると思います。1Fの廃炉には若いパワーの参加が大事になります。小野：実は東京電力に入社して1Fの廃炉に取り組みたいという若い世代が増えているんです。廃炉の技術を調べ、ロボット技術や遠隔操作技術だけでなく、分析関係などでも新しいチャレンジできると知って入社を志望する人が増えており、うれしく思っています。宇宙から地球に降り注いでいる極めて高い透過力をもつ素粒子、ミュー粒子（ミューオン）を使い原子炉内部の透視を行う試みが15年から始まりました。正直、半信半疑だったんですが、まるでX線写真のようにデブリの像を捉えるのに成功したのはびっくり。いたく敬服しました。小野：名古屋大学エコトピア科学研究所と東芝の共同研究による、画期的な分析手法です。後にあの技術を使ってエジプトのピラミッド内に大きな空間を発見するという成果も生まれました。1Fをそういった先進技術活用の実験フィールドとして利用してもらっているのはありがたく思います。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 先を見通しにくいからこそ計画性が必要
