,topic,time,vender,header,body
166,日経クロステック トップIT経営ニュース解説,2021-02-15,金子 寛人,「4位に甘んじない」と強気の楽天モバイル、2023年黒字化に疑問符が付くわけ,「（2023年12月期を見込む楽天モバイル）黒字化のタイミングは多少前倒しできるのでは」――。楽天の会長兼社長と楽天モバイルの会長兼CEO（最高経営責任者）を兼ねる三木谷浩史氏は2021年2月12日、2020年12月期連結決算を公表するに当たり、こう強気の見通しを示した。ただ足元のモバイル事業は赤字だ。売上収益（売上高に相当）こそ前期比34.4％増の2271億円に高まったものの、セグメント損益は同1504億円マイナスの2269億円の赤字に沈んだ。強気の見通しを実現させる道筋は必ずしも「ファクトフルネス（データを基に世界を正しく見る習慣）」に基づいているとは言えない状況にある。「（携帯電話事業者として）4位に甘んじるつもりはない。ユーザーの伸びは早いし、（NTTドコモ、KDDI、ソフトバンクの大手）3社に追いつき上回るところまで行けるとみている」「楽天カードの利用者数はもうすぐ2200万人だが、楽天モバイルの契約数はそれを軽く上回りたい」――。三木谷氏は決算会見の質疑応答でモバイル事業について尋ねられるたび、先行きについて前向きな回答を繰り返した。楽観的なのは、足元で自営回線（MNO）の契約申し込みペースが「4倍」（三木谷氏）と急増しているためだ。2021年1月29日に発表した新料金プラン「Rakuten UN-LIMIT VI」は段階制を採用。月1ギガバイトまでならデータ通信料が0円、月20ギガバイト超でも2980円（税別、以下同）で上限なしという料金設定で、大手3社のプランに対し安さをアピールしている。新料金プランの発表会では申込数の累計を220万件と明らかにしていたが、今回の決算会見では「2月8日時点で累計申込数が250万件を突破した」（楽天モバイルの山田善久社長）。わずか10日ほどで30万件の契約獲得に成功したわけだ。2020年に掲げていた「2020年12月末までに300万件」という目標達成はかなわなかったが、「0円」を掲げた新料金プランの効果で早期挽回を図れそうだ。決算会見ではモバイル事業の新たな収益源についても明らかにした。動画配信や電子書籍をはじめとするコンテンツ事業について、2020年12月から楽天のメディア＆スポーツカンパニーからコミュニケーション＆エナジーカンパニーへ移管した。コンテンツ事業は、国内では宝塚歌劇団や劇団四季といった多くの固定ファンが見込める動画配信を手掛け、海外では「Rakuten TV」「Rakuten VIKI」「Rakuten kobo」といったサービスを展開している。NTTドコモが「dTV」「dマガジン」などのコンテンツサービスを展開するのと同様に、楽天モバイルも通信回線と一体でコンテンツ事業を展開しやすい体制を整えた。モバイル事業以外を含む楽天の2020年12月期の連結決算（国際会計基準）は増収減益だった。具体的には、売上収益は1兆4555億円（前期比15.2％増）、営業損益は938億円の赤字（前期は727億円の黒字）、純損益（親会社の所有者に帰属する当期利益）は1141億円の赤字（前期は318億円の赤字）だった。主力の金融やEC（電子商取引）などが安定した収益性を確保できる、いわゆる「金のなる木」事業であるうちに、足元の赤字にとらわれずにモバイル事業などの「問題児」へ集中的に資金を投下して次世代の収益事業を育てる考えだ。これは経営戦略としてはオーソドックスである。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 重荷となる減価償却費、新料金ARPUや実契約数は...
167,日経クロステック トップ設計・生産革新H3ロケット、カウントダウンへの道,2021-02-15,松浦 晋也,H3ロケット初号機は宇宙でこう動く　JAXA公開のCGビデオを解説,宇宙航空研究開発機構（JAXA）が「H3ロケット」の開発の進展に合わせて2本のビデオを公開した。「H3ロケット試験機1号機フライトシーケンスCG」と「H3ロケット／試験機の打上げを目指して」だ。いわば「2～3分で分かるH3ロケット」とも言うべきプロモーションビデオである。精緻なCGと実写を交え、H3ロケットの構成や仕組み、各部品の機能などを迫力ある映像で見せる。今回は2本のうち「H3ロケット試験機1号機フライトシーケンスCG」を、科学技術ジャーナリストの松浦晋也氏が解説する。宇宙航空研究開発機構（JAXA）が2021年1月21日に公開したビデオ、「H3ロケット試験機1号機フライトシーケンスCG」は、「H3ロケットとは何か」を映像で見せる3分弱のビデオだ。特に、移動発射台でH3ロケット本体を射点に移送する場面から発射、人工衛星の分離までのフライトシーケンス（打ち上げシーケンス）をリアルなCGで映像化しており、H3に限らずロケットによる人工衛星打ち上げを理解するにはうってつけだ。JAXAが今回、公開した2本のビデオの中でも目玉と言えるのがこのH3ロケットの打ち上げシーケンス部分だ。H3ロケットはJAXA種子島宇宙センター（鹿児島県南種子町）の大型ロケット発射場から打ち上げる。この発射場は、H-IIロケット（1994年～99年に7機を打ち上げた）の開発に当たって、新たに建設された射点設備だ。その後、改修を重ねてH-IIAとH-IIBを打ち上げてきた。射点建設に当たって立ち退いた集落の名前をとって「吉信（よしのぶ）射点」とも呼ばれる。上昇を開始したH3ロケットは、まず固体ロケットブースター、次に衛星フェアリング、そして第1段と、役割を終えた部分を切り離して投棄していく。少しでもロケットを軽くして、限られた推進剤でより速く、遠くに到達するためだ。コア機体が2段式になっているのも、機体を軽くして加速性能を高めるためである。このCGでは、衛星を分離した後の第2段が姿勢を制御して逆噴射し、大気圏に再突入している。第2段は、衛星と同じ軌道に入るので、放置するとそのまま地球を回り続けて、宇宙ゴミとなる。そこでH3ロケットでは第2段を逆噴射で再突入させ、できる限りゴミにしないような運用を導入した。この運用は、H-IIBロケットでの宇宙ステーション補給機「こうのとり」の打ち上げで試験的に実施して、実績を積み重ねてきた。H3では可能な範囲内で第2段を地球に落とす。静止トランスファー軌道への打ち上げや、惑星間軌道への打ち上げのように、第2段を逆噴射させても地球に落ちない軌道に入る場合には、従来通り第2段は宇宙に留め置かれる。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ ［2］H3ロケットの機体構成
168,日経クロステック トップ電子デバイス／電子設計ニュース解説,2021-02-09,小島 郁太郎,脱Apple戦略を評価、世界企業を目指すルネサスがDialogを取得へ,純日本企業から世界企業へ進化して、半導体業界での生き残りを狙うルネサス エレクトロクス*1。そのステップに重要な第3の大型買収を2021年2月8日に発表した*2。低電力なPMIC（Power Management IC）や低電力なコネクティビティー（無線通信）ICに強みを持つ、英Dialog Semiconductor（ダイアログセミコンダクター）を約49億ユーロ（約6157億円）で買収する（買収完了は21年中の予定）。同日夕方に開いた報道機関／アナリスト向けオンライン会見で、買収する側、される側のトップが今回の買収への思いを語った。登壇したのはルネサスの代表取締役社長兼CEOの柴田 英利氏とDialogのCEOのJalal Bagherli氏である。買収する側の柴田氏によれば、ルネサスの買収候補のリストには10社くらいが含まれており、実行された1番目が2016年の米Intersil、2番目が2018年の米IDT（Integrated Device Technology）。3番目が今回のDialogとなる。同氏によれば、Dialogの買収の検討を本格的に始めたのは約3年前。その頃にDialogは米Appleへの依存率を下げる戦略を採るようになった。その戦略の効果が着実に出ていることで、今回買収を決定した。実際、19年には全社売り上げに占めるAppleへの販売額の比率は66％だったが、20年末には55％に低減した。23年にはDialog全体の売上高が増すことの効果と合わせて、Appleの比率は25～30％になるとのことだった。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 3指標でDialogを評価
169,日経クロステック トップ設計・生産革新スタートアップものづくり,2021-02-09,吉田 勝,和歌山にスタートアップ育成拠点、工場の余力を活用し量産を支援,2020年9月、写真現像機などの開発・製造を手掛けるノーリツプレシジョン（和歌山市）本社ビルの1フロアに、ものづくりスタートアップのインキュベーション拠点「和歌山インキュベーションセンター」（WInC）がオープンした。地元企業や県庁を巻き込むとともに、量産工場を擁するものづくり企業の設備や人をフル活用し、試作から量産まで製品開発のすべてのプロセスを支援できるのが特徴だ。WInCセンター長を務めるノーリツプレシジョン代表取締役社長の星野達也氏に、設立の狙いと展望を聞いた。（聞き手は日経クロステック／日経ものづくり＝山田 剛良、吉田 勝）ノーリツプレシジョンは、ノーリツ鋼機の写真現像機（ミニラボ）部門が独立した旧NKワークス（和歌山市）を、16年にMBO（マネジメント・バイアウト）する形でできた。しかし、デジタル化の進展によって主たる事業であるミニラボ事業は年々縮小を余儀なくされた。そこで、余力の生まれたスペースや生産設備を活用し、和歌山の地からスタートアップを羽ばたかせようとWInCを立ち上げた。事業縮小にともないノーリツプレシジョンの本社ビルの一角が空いていたので、「これをインキュベーションセンターにしてはどうか」と思い立ったのが始まりです。大企業、中小企業、スタートアップとの連携を意識していましたが、中でも一番親和性が高いのがスタートアップとの連携です。スタートアップは独創的なアイデアを持っているものの、生産設備がないので試作・量産の壁にぶつかる。一方、ノーリツプレシジョンにはユニークなアイデアはなくても、ものづくりの場がある。スペースにも余裕がある。両者を組み合わせれば、和歌山から新しい価値を創造できると考えました。そこで、和歌山県内の産官学が一体となって支援すれば面白いことができるのではないかと思い県庁に相談したところ、補助金を出すなど積極的に動いてくれました。当社の目の前にある和歌山大学も、学内の一部設備を開放したりWInCへ移管したりと協力してくれました。同大はもともと起業に積極的で、産学連携にも注力しています。起業指向の学生にとって教育的効果も期待できるとの狙いがあったようです。地元銀行もスタートアップ向けローンを用意してくれました。こうして産学官を巻き込んだインキュベーション拠点としてWInCが立ち上がったのです。実は、伏線となったスタートアップ企業との連携があります。それが、最初の入居企業でもある和歌山大発ベンチャーの4Dセンサー（和歌山市）です。3D形状の時間変化をとらえるセンサーを開発している企業ですが、もともとマンションの一室をオフィスにしていました。しかし、設備がないので部品加工は全て外注しなくてはならず、郵送などで時間がかかると悩んでいたようです。そこで2年ほど前に、生産設備と人材が備わっている当社の一角に引っ越してきました。同社の活動を間近で見て、ものづくりスタートアップの苦労を目の当たりにするとともに、我々のような中堅ものづくり企業との親和性の高さを実感しました。「両者の組みあわせはシナジー効果があってウィン-ウィンの関係になる」。こう感じて、WInCの立ち上げに動いたのです。今後は4Dセンサー以外の和歌山大学発ベンチャーにも使ってほしいですし、大阪市街から1時間と近いので関西圏のベンチャーにも利用してもらえればと思っています。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 県外企業なら家賃半額補助、ちょっとした部品加工は...
170,日経クロステック トップ5G／通信ニュース解説,2021-02-09,岩沢 真実,著名人らが連日大盛り上がりの「Clubhouse」　音声技術を丸裸に,2021年1月の最終週あたりから国内でも爆発的に利用者を増やしている話題の音声SNS「Clubhouse（クラブハウス）」（米Alpha Exploration（アルファ・エクスプロレーション）。著者は音声系のネットアプリの開発に関わるエンジニアなので、話を聞いてすぐにIDを入手、興味津々で体験してみた。驚いたのは「雑談のしやすさ」だ。仕事柄、音声通信系のアプリは一通り使っている。今をときめく「Zoom（ズーム）」（米Zoom Video Communications（ズーム・ビデオ・コミュニケーションズ））はもちろん、「Skype（スカイプ）」「Discord（ディスコード）」「Google Meet（グーグル・ミート）」「FaceTime（フェイスタイム」「WebEx（ウェブエックス）」あたりは仕事で日常的に使っている。プライベートも含めると「LINE」や「Facebook Messenger」の音声通話も使う。だが会話に限るとClubhouseはそのどれよりもやりやすい。音質がよく感じるのもあり、雑談が弾むのだ。筆者だけではない。Clubhouseを使っている友人たちや、他の利用者も異口同音にそうした感想を述べる。その心地よさが人を呼び寄せ、有名人を含む多くの人たちが連日連夜、雑談を繰り広げる新しいプラットフォームが活況を呈している理由だろう。もちろん巧妙なサービスデザインやアプリの出来の良さ、操作画面（UI）の造りの巧みさなども雑談を促す特性に影響しているだろう。だがそれ以上に音声データのハンドリングなどにも秘密がありそうだ。これはちゃんと調べてみたいという好奇心がむくむく湧いてきた。ClubhouseはiPhone（iOS）専用だ。iPhoneアプリの通信は愛用のMacBookにUSBケーブルで接続して開発ツールを起動すれば簡単に内容を確認できる。Clubhouseを使っている友人たちに声をかけ、彼らの許諾を得て実験を行った。独自の調査で分かったClubhouseの通信の仕組みを解説していく。最初に結論を述べておこう。驚くべきことに、Clubhouseは何も特別な技術を使っていなかった。ネットワーク構成は1台のサーバーに多数の端末がぶら下がる単純なクライアントサーバー型で、サーバーは音声のミキシングすらやっていない。音声ストリームは業界標準のCODEC（コーデック）「Opus（オーパス）」＊を、しかもほぼデフォルト設定で使っているようだ。さらに言うと、配信には既存の音声配信プラットフォームをそのまま使っている可能性が高い。つまりClubhouseはWeb音声アプリやオンラインゲームの音声チャットなどで使いつくされた既存技術を組み合わせて全く新しいユーザー体験を生み出している。現在の任天堂の基礎を築いた伝説のエンジニア横井軍平氏の哲学「枯れた技術の水平思考」を、そのまま実践したのがClubhouseの本当のすごみだと筆者は考える。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 比較対象にはZoomを選んだ
171,日経クロステック トップ設計・生産革新H3ロケット、カウントダウンへの道,2021-02-09,松浦 晋也,ネットワーク化で打ち上げ準備を効率化　H3ロケットのアビオニクス,"低コストと高い信頼性、そして柔軟性という3つの柱を高いレベルで実現するため、H3ロケットではさまざまな新技術を導入している。それは、機体の各所に見て取れる。組み込まれた機器だけでなく、その製造方法、さらに打ち上げを実施する射場でもH3は従来と一線を画す。今回はアビオニクス（電子機器）のネットワーク化と冗長化を取り上げる。H3ロケットのアビオニクスは、H-IIA/Bから大きく進歩し、ネットワーク接続を採用している。H-IIA/Bのアビオニクスは、個々の機器を必要に応じて直接ケーブルで結線していた。例えば、誘導制御の要となる誘導制御計算機（GCC）は、各種センサーの情報からロケットエンジンの噴射方向や姿勢制御スラスターの噴射量を計算する。そうして得られた数値が、噴射方向を変えるアクチュエーターや噴射量を変えるバルブ制御機構へと伝えられる。H-IIA/Bでは、センサーとGCCを直接結線してセンサーからの入力を伝えている。計算結果の伝達も直接ケーブルをつないで行っている。これに対してH3では、アビオニクスを構成する各機器をネットワーク接続で行う。各種センサー、通信機器、制御機器などは、それぞれネットワークへのインターフェースを持ち、H3の“電子的な背骨""となるネットワークにぶら下がる。センサーからGCCへの情報伝達も、GCCからアクチュエーターへの制御指令も、ネットワーク経由でやりとりする。この形式の利点は、まず重いワイヤハーネスがネットワークケーブル1本に統合されることによる機体の軽量化だ。機体組み立て工程も簡素化されるので組み立てコストも低減する。それ以上に大きな効果が出るのは、射場における点検と打ち上げの作業だ。射場で垂直に立てられたロケットは、アンビリカル（へその緒）と呼ばれるコードや配管で射点設備と接続される。アンビリカルは、［1］電力や搭載衛星を保護する乾燥空気を機体に供給する［2］打ち上げ前に推進剤を充填する［3］搭載電子機器のチェックを機体外部から行う、という役割を持つ。アビオニクスのネットワーク化が大きな意味を持つのは［3］だ。従来は個々の機器から直接、アンビリカル経由で外部に配線を引き出す必要があった。それだけ接続のコネクターも増えるし、アンビリカルをつなぐ作業も増える。H3ではネットワークケーブル1本を接続するだけで、アビオニクス全体のチェックが可能になった。それだけ射場作業が簡素化され、打ち上げコストも低下する。この特徴を生かし、H-IIA/Bではロケットに設けたアクセスドアから作業者が内部に入って行っていた点検作業も、アンビリカル経由で行うように改善している。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 
2段のネットワークは完全冗長化"
172,日経クロステック トップテレコムインサイドNTT「IOWN」の野望,2021-02-09,堀越 功,NTT澤田社長の覚悟「土俵を変える、日本には技術がある」,"NTTにとって、かつてない大勝負となる「IOWN（Innovative Optical and Wireless Network）」構想。最初から世界を念頭に置き、IOWNの仕様を策定する団体「IOWN Global Forum」を米国に設立している。日本の情報通信産業が海外依存を脱却する契機になるのか。NTT代表取締役社長の澤田純氏に聞いた。（聞き手は堀越 功＝日経クロステック、中道 理＝日経クロステック／日経エレクトロニクス）IOWN Global Forumには、設立メンバーの米Intel（インテル）やソニーに加え、米Microsoft（マイクロソフト）やスウェーデンEricsson（エリクソン）など世界大手が参画しています。こうしたプレーヤーはなぜIOWNに興味を持っているのでしょうか？IOWNは、世界で今動いている情報通信のアーキテクチャーを変えていく可能性があるためです。今から参画しておく必要があるという意識ではないでしょうか。今後数年で光電融合型のコパッケージ（編集注：LSIと光チップを混載した小型デバイスのこと）を出せれば、データセンターのコンピューティング環境やOSは劇的に変わります。製品やソリューションを提供するメーカーが敏感に反応しています。2020年夏のIOWN Global Forumの総会では、こうしたプレーヤーから提案書が何十と出てきました。IOWN構想に対する本気度が一段と増している表れだと思います。IOWN構想の公表からもうすぐ2年がたちます。現時点で構想実現に向けた課題は何でしょうか？IOWN構想は技術構想であり、現段階でまだビジネスモデルを明確にできていない点です。IOWN構想に基づいて、さまざまなハード製品やソフトウエアが出てくる可能性がありますが、プロダクトのエコシステムをどのように組み立てるのか。光電融合の生産技術をどのように組み立てていくのかなど、まだ数多くの課題が残っています。生産技術を持つメーカーとの協業が重要になりそうです。NECに出資し、富士通やエリクソンなどとも議論しているのは、そうした狙いがあるからです。IOWN構想のこれからのロードマップを教えてください。21年から、IOWNのユースケースの検討を始めようと考えています。まずは多地点の臨場感通信のような分野を検討しています。2025年には大阪万博や、ITER国際核融合エネルギー機構（ITER機構）がフランスに建設中の核融合実験炉において、IOWNの要素技術を先行導入することも考えています。現在のインターネットはスケールメリットがあるからこそ、GAFAのようなプレーヤーが勝者総取りできます。それに対しIOWNは、高速道路のような新たなネットワークをつくるイメージです。スケール面では現在のインターネットにかなわないのではないでしょうか？この記事は有料会員限定です。次ページでログインまたはお申し込みください。

1
2この記事は有料会員限定です。次ページでログインまたはお申し込みください。"
173,日経クロステック トップ設計・生産革新H3ロケット、カウントダウンへの道,2021-02-08,松浦 晋也,電動バルブ導入でH3ロケットの準備を効率化、打ち上げも優しく,"低コストと高い信頼性、そして柔軟性という3つの柱を高いレベルで実現するため、H3ロケットではさまざまな新技術を導入している。それは、機体の各所に見て取れる。組み込まれた機器だけでなく、その製造方法、さらに打ち上げを実施する射場でもH3は従来と一線を画す。今回は電動バルブについて取り上げる。H3ロケットのメインエンジン「LE-9」は、液体酸素、液体水素配管などの主なバルブを電動モーターで駆動する設計になっている。このため、エンジン運転中もバルブの開度の調節が可能だ。この設計の目的は打ち上げの途中で出力を絞れるようにするためだが、それだけではないさまざまな恩恵をLE-9にもたらしている。アクセルで出力を調整する自動車のエンジンとは異なり、ロケットエンジンは出力100％で使い、出力の調節をしないという設計がほとんどだ。ぎりぎりまでの軽量化を要求されるロケットエンジンは、見かけ以上に“やわ""で、各部が共振しやすい。出力調節ができるように設計すると、振動の周波数が変化するので、共振を避ける設計が複雑になる。しかし、ロケットエンジンであっても、出力の調節ができたほうが望ましい。例えば打ち上げ時のエンジン燃焼末期だ。どんどん搭載推進剤を消費していくので、機体が軽くなって、出力が一定だと加速度が大きくなっていく。搭載ペイロードにかかる荷重を軽減するには、エンジン出力を絞って加速度を小さく出来るほうが良い。このような事情があり、またコンピューター・シミュレーションの発達で振動解析が容易になってきたことから、最近は出力調節ができるロケットエンジンが増えている。LE-9もこの流れに乗った設計となっているわけだ。エンジン出力は、推進剤の単位時間当たりの流量で決まるので、推力調節のためには配管にバルブを入れて流量を調節する。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 
燃焼試験や打ち上げ準備も効率化"
174,日経クロステック トップエレクトロニクス機器／技術ニュース解説,2021-02-08,近岡 裕,「1000万台全てさばく」、三菱の工作機械を買った日本電産の野望,電気自動車（EV）モーターの王者を狙う日本電産会長兼最高経営責任者（CEO）の永守重信氏が、また新たに「攻めの一手」を打った。歯車（ギア）を造る工作機械を開発する三菱重工工作機械（滋賀県栗東市）を買収し、手中に収める。三菱重工工作機械は、歯車工作機械の分野で国内シェアトップ。ホブ盤からギアシェーパ、シェービング盤、ギアスカイビング盤、歯車研削盤までの開発を手掛ける。切削から研削まで一貫した加工に対応でき、高精度で高効率な歯車を加工する工作機械を造るメーカーで、技術力の高さに定評がある。1936年に旋盤の生産から事業を立ち上げた“老舗”だ。永守氏の狙いは、ずばり「減速機の内製化」だ。同氏は2030年にEVモーターの世界シェアを40～45％に高める野心的な目標を掲げている＊。このシェアの向上に大きく寄与し、かつ付加価値を高めるために日本電産が力を入れているのが、EV用駆動モジュール「電動アクスル（イーアクスル）」事業である。電動アクスルの販売台数の目標は、「2025年に250万台、2030年には1000万台」（日本電産）である。量産化の第1弾として、出力150kＷの電動アクスル「E-Axle」の量産を2019年4月から中国工場（浙江省の平湖工場）で開始。中国・広汽新能源汽車（GAC New Energy Automobile）のEV「Aion」シリーズに採用された。現在、セダンタイプの「同S」と、SUV（スポーツ多目的車）タイプの「同LX」および「同V」の計3車種に、この150kWの電動アクスルが載っている。さらに、量産化の第2弾として、日本電産は100kWの電動アクスルの生産に近く着手する考えだ。日本電産の営業方針は、「多少無理でも全て受けろ」（永守氏）というもの。自動車メーカーから引き合いがあった場合は、断らずにとにかく受注する考えだ。だが、想定を超えて一気に引き合いが増えた場合に、減速機を外から調達していては「受注が来ても、対応できなくなってしまう」（同社）。すなわち、外部調達による生産のボトルネックを避け、内製化して受注に迅速に対応するというのが、三菱重工工作機械を買った永守氏の真の狙いだ。今回の買収劇に“伏線”はあった。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 「内製化」と「リストラ」の思惑が一致
175,日経クロステック トップエレクトロニクス機器／技術ニュース解説,2021-02-08,根津 禎,ソニーがアニメに全集中、海外ファン1億人獲得へ　ゲームと相乗,「アニメは我々の注力領域だ」――。2020年度第3四半期の連結決算のオンライン発表会において、登壇したソニー 取締役 代表執行役 副社長 兼 CFOの十時裕樹氏はこう宣言した。20年12月に発表した、日本のアニメーションを中心とするコンテンツ配信基盤（プラットフォーム）「Crunchyroll（クランチロール）」の運営企業の買収を機に海外展開を強化。アニメ事業と親和性が高いゲーム事業との相乗効果を狙い、コンテンツ事業の拡大を図る。既に足元のアニメ事業は好調だ。アニメ事業を含む「音楽」セグメントの20年度第3四半期の売上高は2645億円、営業利益は597億円と、前年同期比でそれぞれ約22％増、約64％増で、増収増益だった。音楽ストリーミングの売り上げ増のほか、グループのアニプレックスが制作・配給にかかわる映画『劇場版「鬼滅の刃」無限列車編』が貢献した。同映画は21年1月31日までで興行収入368億円を記録するなど大ヒットを飛ばしている。主題歌も売り上げを伸ばすなど、相乗効果を発揮している。鬼滅の刃の好調ぶりは、基本的に日本が中心だ。こうした人気アニメを積極的に海外展開し、事業拡大を狙う。既に日本アニメに対する関心は海外で急速に高まり、海外がけん引役となり、「日本アニメの市場は過去5年間で約1.5倍の市場成長を見せている」（十時氏）。この成長する海外市場に打って出るためにクランチロールの買収に踏み切った。既にソニーは海外のアニメ配信サービス「Funimation（ファニメーション）」を傘下に収めている。そこにクランチロールが加わる。クランチロールのプラットフォームは大きい。配信先の国や地域は広く、会員数は多い。21年1月でサービス登録者数は、200超の国や地域で合計1億人に達した。このうち有料会員数は400万人とアニメファンの一大コミュニティーを有する。作品数は1000を超え、エピソード数は3万に達する世界最大級の「アニメライブラリー」だ。「アニメファンが喜ぶサービスを360度全方位で展開していく」ことを掲げており、映像配信にとどまらない。漫画やゲーム、キャラクターグッズなども手掛けており、米国を中心に「OTAKU（オタク）」の一大プラットフォームになっている。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 半年で有料会員100万人増
176,日経クロステック トップテレコムインサイドNTT「IOWN」の野望,2021-02-08,堀越 功,IOWN構想はなぜ生まれた？NTT澤田社長が明かす3つの理由,壁に直面する世界の情報処理基盤を、光技術によって塗り替えようというNTTの「IOWN（Innovative Optical and Wireless Network）」構想。2030年をターゲットにした壮大な計画の実現に向けて陣頭指揮を執るのが、同構想の生みの親であるNTT代表取締役社長の澤田純氏だ。どのような情報通信の未来を描いているのか。澤田氏に聞いた。（聞き手は堀越 功＝日経クロステック、中道 理＝日経クロステック／日経エレクトロニクス）IOWN構想を公表した経緯や狙いを教えてください。まず当社を取り巻く経営環境として、大きく3つの課題がありました。1点目は、どうやって世界に対抗していくのかという点です。ITや通信に必要な機器やサービスの多くは、日本製ではなく海外製です。今のインターネットはスケールメリットを奪ったプレーヤーが総取りするモデルです。こうしたプレーヤーに対抗し、自社のビジネスを広げるには、何らかのゲームを変える要素が必要になると考えていました。2点目は経済安全保障の観点です。新型コロナウイルスの感染拡大で分かったように、世界でヒト・モノ・カネの流通が止まってしまうと、海外の技術や資源に頼った日本のままでは厳しい環境に陥ります。自分たちで技術を持ち、関連する業界でエコシステムを作って、自立していく必要があります。3点目は、人工知能（AI）のニーズが広がる中、今後とんでもないデータ量が飛び交う世界になるという点です。これらのデータを分析したり伝送したりするには、膨大なエネルギーが必要になります。今の半導体を使った処理がボトルネックであり、いずれムーアの法則が行き詰まることが見えていました。こうした課題を解決するシーズが、NTT研究所から生まれてきました。それが2019年4月に英学術誌「Nature Photonics」に掲載された、半導体を光化する光電融合技術です。この光半導体を活用することで、エネルギー消費の問題が解決でき、自社の技術でゲームを変えていけると考えました。この技術が十分条件となり、IOWN構想を世に出すきっかけになりました。IOWNは、ネットワークから情報処理基盤までを革新しようという壮大な構想です。以前から広い分野の問題意識を持っていたのでしょうか？それぞれの分野で問題意識を持っていました。例えば究極の通信サービスを考えた場合、五感を越えたテレパシーのようなものになるでしょう。このようなサービスを考えた場合、「1人1波長」のリソース割り当てが必要になる時代が来ると考えていました。それを実現する基礎技術が、NTTの研究所にいくつもあると感じていました。ちなみに「1人1波長」の概念は、作家・エコノミストのジョージ・ギルダー氏が2000年代に書いた「テレコズム」という本の中で提唱したものです。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ IOWN構想が実現することで、利用者にどんなメリ...
177,日経クロステック トップ設計・生産革新H3ロケット、カウントダウンへの道,2021-02-05,松浦 晋也,ロボットで造るH3ロケット　工場に自動化設備を積極導入,低コストと高い信頼性、そして柔軟性という3つの柱を高いレベルで実現するため、H3ロケットではさまざまな新技術を導入している。それは、機体の各所に見て取れる。組み込まれた機器だけでなく、その製造方法、さらに打ち上げを実施する射場でもH3は従来と一線を画す。今回はロボットなど工場における自動化設備を取り上げる。H3はH-IIAに対してコスト半減を目標にしているが、発注から打ち上げまでのリードタイムもH-IIAの2年を1年に短縮することを目指している。そこでH3の製造・組み立てでは、大量生産する民生品に近い自動化設備も導入した。コストダウンおよびリードタイム短縮のためだ。これまでロケットは、作業者が1つひとつ手で組み立てていた。推進剤やガスの配管系には多数の逆止弁（チェックバルブ）が挟み込まれていて、配管内の逆流を抑止している。これらのバルブの製造は三菱重工業が担当しており、従来のH-IIA/Bではこれらのバルブは手組みだったが、H3では自動組立ラインを導入した。同じく三菱重工が製造する第1段と第2段を接続する段間部の製造も自動化した。H-IIA/Bの段間部は、軽量な炭素繊維強化プラスチック（CFRP）製で人手によって組み立てている。H3の段間部はコストダウンのために、CFRPよりもやや重量がかさむが安価なアルミニウム合金の波板にリベットを打って組み立てる。このリベット打ちは、作業者が手で行うのではなく自動打鋲（びょう）機が打つようにした。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 川崎重工業担当の、打ち上げ初期に空力抵抗や過熱か...
